product_id;sku;ean;name;Kod producenta
212560993;1000469;4260223025440;Frytownica elektryczna podwójna z termostatem Ego 2x4L;1000469
212560994;1000471;4260223026102;Szafa gastronomiczna magazynowa ze stali nierdzewnej drzwi 180x118x50cm;1000471
212560995;1000474;4260223028779;Nóż teflonowy nieprzywierający do krajalnic tarcza 220mm;1000474
212560996;1000475;4260223028786;Nóż teflonowy nieprzywierający do krajalnic tarcza 250mm;1000475
212560997;1000477;4260223028731;Kociołek elektryczny do zupy sterowany elektronicznie 10L;1000477
212560998;1000488;4260223028410;Grill rolkowy z szybą Roller rolkami teflonu 5T;1000488
212560999;1000489;4260223028427;Grill rolkowy z szybą Roller rolkami teflonu 7T;1000489
212561000;1000490;4260223028434;Grill rolkowy z szybą Roller rolkami teflonu 9T;1000490
212561001;1000491;4260223028441;Grill rolkowy z szybą Roller rolkami teflonu 11T;1000491
212561002;1000505;4260223027116;Waga hakowa profesjonalna z pilotem czytnikiem do 5 ton 5T;1000505
212561003;1000506;4260223027123;Waga hakowa profesjonalna z pilotem czytnikiem do 10 ton 10T;1000506
212561004;1000507;4260223028458;Waga platforma magazynowa bezprzewodowa WiFi SBS BW 3T LCD do 3 ton;1000507
212561005;1000515;4260223027505;Odizolowywacz przewodów korowarka do kabli WIRESTRIPPER 002-1500;1000515
212561006;1000516;4260223027512;Odizolowywacz przewodów korowarka do kabli WIRESTRIPPER 003-2200;1000516
212561007;1000518;4260223027536;Odizolowywacz korowarka do ściągania izolacji z kabli przewodów 005;1000518
212561008;1000519;4260223027543;Odizolowywacz korowarka do ściągania izolacji z kabli przewodów 006;1000519
212561009;1000520;4260223027925;Odizolowywacz korowarka do ściągania izolacji z kabli przewodów 007;1000520
212561010;1000521;4260223028847;Walec polerski filcowy 110x100mm do satyniarki z bawełny na wysoki połysk;1000521
212561011;1000522;4260223028854;Walec szlifierski szczotka walcowa nylonowa do satyniarki 120x100mm;1000522
212561012;1000527;4250928650962;Ściernica listkowa walcowa do satyniarki szlifierki 120x100mm P320;1000527
212561013;1000528;4260223028915;Taśmy pasy ścierne szlifierskie bezkońcowe 760x40mm z cyrkonu 5szt;1000528
212561014;1000529;4260223028922;Taśmy pasy ścierne szlifierskie bezkońcowe 760x40mm z cyrkonu 5szt;1000529
212561016;1000530;4260223028939;Taśmy polerskie filcowe bezkońcowe 760x40mm 5szt;1000530
212561019;1000537;4260223028021;Stacja Profesjonalna lutownicza Hot Air zasilacz laboratoryjny LS 1;1000537
212561023;1000540;4260223028052;Stacja lutownicza lutownica grotowa Hot Air LS 4;1000540
212561026;1000542;4260223028076;Stacja Profesjonalna lutownicza Hot Air z odsysaniem dymu LS 6;1000542
212561029;1000546;4260223028113;Stacja Profesjonalna lutownicza Hot Air podgrzewacz Bga Preheater LS 10;1000546
212561033;1000548;4250928693952;Stacja lutownicza lutownica kolba grotowa 65W 2 mV akcesoria LS 12;1000548
212561037;1000555;4260223028373;Suszarka próżniowa laboratoryjna 450W 20L;1000555
212561040;1000556;4260223028380;Suszarka próżniowa laboratoryjna 1450W 50L;1000556
212561044;1000557;4250928624321;Uszczelka silikonowa do napełniacza nadziewarki kiełbasy 10-15L;1000557
212561048;1000558;4250928625427;Nóż stalowy do krajalnicy tarcza 220mm;1000558
212561051;1000559;4250928625441;Nóż stalowy do krajalnicy tarcza 250mm;1000559
212561055;1000561;4250928625557;Sitko 5mm do wilka maszynki mięsa 120PRO;1000561
212561058;1000562;4250928617750;Nóż do wilka maszynki mięsa 120PRO;1000562
212561062;1000563;4250928617767;Sitko 5mm do wilka maszynki mięsa 220PRO;1000563
212561065;1000564;4250928617774;Nóż do wilka maszynki mięsa 220PRO;1000564
212561069;1000565;4250928617781;Sitko 4mm do wilka maszynki mięsa 220EXPERT;1000565
212561072;1000566;4250928617798;Sitko szarpak do wilka maszynki mięsa 220EXPERT;1000566
212561076;1000567;4250928617804;Sitko 8mm do wilka maszynki mięsa 220EXPERT;1000567
212561079;1000568;4250928625564;Nóż do wilka maszynki mięsa 220EXPERT;1000568
212561083;1000569;4250928625618;Tarcza do szatkownicy elektrycznej plastry 2mm P2;1000569
212561086;1000570;4250928625625;Tarcza do szatkownicy elektrycznej plastry 4mm P4;1000570
212561089;1000572;4250928617897;Tarcza do szatkownicy elektrycznej wiórki 4mm H4;1000572
212561093;1000573;4250928617903;Tarcza do szatkownicy elektrycznej wiórki 5mm H5;1000573
212561095;1000574;4250928618368;Sitko 8mm do wilka maszynki mięsa 120PRO;1000574
212561096;1000575;4250928618375;Sitko 8mm do wilka maszynki mięsa 220PRO;1000575
